"Source","Target","Citation.Count","Source.Type","Source.Year"
30521417,30521417,0,"Paper",2018
30520433,30520433,0,"Paper",2018
30520151,30520151,0,"Paper",2018
30520100,30520100,0,"Paper",2019
30506951,30506951,0,"Paper",2019
30504757,30504757,0,"Paper",2018
30504704,30504704,0,"Paper",2018
30514309,30514309,0,"Paper",2018
30514309,29037220,0,"Paper",2018
30514309,28687357,0,"Paper",2018
30514309,27050392,0,"Paper",2018
30514309,28744405,0,"Paper",2018
30514309,25921068,0,"Paper",2018
30514309,28991235,0,"Paper",2018
30514309,29096676,0,"Paper",2018
30514309,23446348,0,"Paper",2018
30514309,26057830,0,"Paper",2018
30514309,29626935,0,"Paper",2018
30514309,28794202,0,"Paper",2018
30514309,30057200,0,"Paper",2018
30514309,25746834,0,"Paper",2018
30514309,27892494,0,"Paper",2018
30514309,29174924,0,"Paper",2018
30514309,25768908,0,"Paper",2018
30514309,28903484,0,"Paper",2018
30514309,28622299,0,"Paper",2018
30514309,24039610,0,"Paper",2018
30514309,28520103,0,"Paper",2018
30514309,28535767,0,"Paper",2018
30514309,27886165,0,"Paper",2018
30514309,27484176,0,"Paper",2018
30514309,23446346,0,"Paper",2018
30514309,29549306,0,"Paper",2018
30514309,29842886,0,"Paper",2018
30514309,29415990,0,"Paper",2018
30514309,26590255,0,"Paper",2018
30514309,28893265,0,"Paper",2018
30514309,28344082,0,"Paper",2018
30513309,30513309,0,"Paper",2019
30510454,30510454,0,"Paper",2018
30510446,30510446,0,"Paper",2018
30510446,24811520,0,"Paper",2018
30510446,26802132,0,"Paper",2018
30510446,28744405,0,"Paper",2018
30510446,23446348,0,"Paper",2018
30510446,25746834,0,"Paper",2018
30510446,28737829,0,"Paper",2018
30510446,24039610,0,"Paper",2018
30510446,26211738,0,"Paper",2018
30510446,28695772,0,"Paper",2018
30510446,28211215,0,"Paper",2018
30510446,26931159,0,"Paper",2018
30510446,28980874,0,"Paper",2018
30510446,28974900,0,"Paper",2018
30510446,28344082,0,"Paper",2018
30510446,24865493,0,"Paper",2018
30509491,30509491,0,"Paper",2019
30509108,30509108,0,"Paper",2018
30509102,30509102,0,"Paper",2018
30497055,30497055,0,"Paper",2018
30488762,30488762,0,"Paper",2018
30486834,30486834,0,"Paper",2018
30486834,29499937,0,"Paper",2018
30486834,24811520,0,"Paper",2018
30486834,28687357,0,"Paper",2018
30486834,26052092,0,"Paper",2018
30486834,27929395,0,"Paper",2018
30486834,27050392,0,"Paper",2018
30486834,26556385,0,"Paper",2018
30486834,24014594,0,"Paper",2018
30486834,28669840,0,"Paper",2018
30486834,27465405,0,"Paper",2018
30486834,24339831,0,"Paper",2018
30486834,27886165,0,"Paper",2018
30486834,28625551,0,"Paper",2018
30486834,29334789,0,"Paper",2018
30486834,23446346,0,"Paper",2018
30486834,28625552,0,"Paper",2018
30486834,25234927,0,"Paper",2018
30486482,30486482,0,"Paper",2018
30485839,30485839,0,"Paper",2018
30485544,30485544,0,"Paper",2018
30483740,30483740,0,"Paper",2019
30483394,30483394,0,"Paper",2018
30483394,28412345,0,"Paper",2018
30483394,27929395,0,"Paper",2018
30483394,27050392,0,"Paper",2018
30483394,28744405,0,"Paper",2018
30483394,27606420,0,"Paper",2018
30483394,27258521,0,"Paper",2018
30483394,26600397,0,"Paper",2018
30483394,23446348,0,"Paper",2018
30483394,25746834,0,"Paper",2018
30483394,29286141,0,"Paper",2018
30483394,28707774,0,"Paper",2018
30483394,28368401,0,"Paper",2018
30483394,28343871,0,"Paper",2018
30483394,28520103,0,"Paper",2018
30483394,28535767,0,"Paper",2018
30483394,26931159,0,"Paper",2018
30483394,23446346,0,"Paper",2018
30483394,28086788,0,"Paper",2018
30483394,28130019,0,"Paper",2018
30483394,28938566,0,"Paper",2018
30483394,28893265,0,"Paper",2018
30483394,29540674,0,"Paper",2018
30483394,25749389,0,"Paper",2018
30483132,30483132,0,"Paper",2018
30483132,27604105,0,"Paper",2018
30483132,28903484,0,"Paper",2018
30483132,29343848,0,"Paper",2018
30483132,26177684,0,"Paper",2018
30481892,30481892,0,"Paper",2018
30481761,30481761,0,"Paper",2018
