SRR5548631
SRR5560204
SRR5559940
SRR064142
SRR5560093
SRR5548811
SRR1009056
SRR064060
SRR5549037
SRR5548014
SRR5560077
SRR5559920
SRR064144
SRR5548680
SRR1008971
SRR5548253
SRR5548272
SRR5559816
SRR064120
SRR5548533
SRR5548554
SRR5548705
SRR1008699
SRR5548760
SRR5548111
SRR5548234
SRR5559994
SRR1008957
SRR5548936
SRR5548436
SRR064051
SRR5560051
SRR5548103
SRR5548694
SRR064115
SRR5548332
SRR5548998
SRR5548498
SRR5548640
SRR5548291
SRR5559931
SRR5560133
SRR5548803
SRR5548620
SRR5559980
SRR640807
SRR5560154
SRR5559850
SRR064005
SRR5548374
SRR1008763
SRR064884
SRR5560117
SRR5549001
SRR5548261
SRR1009042
SRR5548132
SRR5548968
SRR5548468
SRR5548607
SRR1009055
SRR064882
SRR1008729
SRR1009022
SRR5548784
SRR5548174
SRR5560089
SRR5559839
SRR5559748
SRR5559815
SRR5548612
SRR1008914
SRR5548303
SRR640829
SRR5549048
SRR1008962
SRR5548832
SRR5560102
SRR5548664
SRR064135
SRR5548517
SRR5559788
SRR064877
SRR5548311
SRR5559912
SRR5548790
SRR5559964
SRR640881
SRR5548419
SRR5548919
SRR5548435
SRR5548935
SRR5548092
SRR5549013
SRR5560049
SRR5559907
SRR5560063
SRR5548744
SRR064895
SRR064888
SRR5548502
SRR5548057
SRR5560029
SRR5559878
SRR5548724
SRR1009057
SRR5548870
SRR5549036
SRR5548082
SRR5560115
SRR5560139
SRR5548809
SRR1008910
SRR5560076
SRR064889
SRR5548578
SRR5548660
SRR5548605
SRR5559802
SRR5559817
SRR064070
SRR5559798
SRR5548109
SRR5548731
SRR640824
SRR5548780
SRR5548170
SRR1008956
SRR5548740
SRR5548437
SRR5548937
SRR5548358
SRR5548515
SRR5548539
SRR5548259
SRR1009071
SRR5560178
SRR5548055
SRR5548022
SRR5560099
SRR5548794
SRR5559960
SRR5559905
SRR5548042
SRR5560023
SRR5560075
SRR5548606
SRR5548281
SRR5548858
SRR5560116
SRR1008783
SRR5548488
SRR5548988
SRR5548550
SRR5560043
SRR5548764
SRR5560069
SRR5548230
SRR5559990
SRR5549019
SRR5549035
SRR1008718
SRR5548707
SRR5560200
SRR5548913
SRR5559944
SRR5548413
SRR064905
SRR5559924
SRR5548158
SRR5548684
SRR5548401
SRR5548901
SRR5548644
SRR1008942
SRR5548208
SRR5549068
SRR5559833
SRR064043
SRR064093
SRR5559768
SRR5560018
SRR5548516
SRR5548309
SRR1008955
SRR5548624
SRR5559984
SRR5560150
SRR5559854
SRR1008922
SRR5548370
SRR5559906
SRR064867
SRR5560083
SRR5548428
SRR5548928
SRR1008723
SRR5548221
SRR1008775
SRR1009014
SRR5548690
SRR5548448
SRR5548948
SRR1008769
SRR1009062
SRR064886
SRR5548241
SRR1008743
SRR064042
SRR5548496
SRR5548653
SRR5548996
SRR064092
SRR5559875
SRR5548672
SRR060116
SRR5559823
SRR5548862
SRR1008932
SRR5560201
SRR5548634
SRR5559869
SRR064044
SRR064094
SRR5559843
SRR5548814
SRR5548114
SRR5560193
SRR064020
SRR5548551
SRR1008733
SRR5548231
SRR5559991
SRR5548162
SRR5548392
SRR5548438
SRR5548938
SRR5548357
SRR5559785
SRR5560177
SRR5548280
SRR5559745
SRR5559818
SRR5560033
SRR5549045
SRR5559797
SRR5548240
SRR5548691
SRR5559773
SRR064015
SRR5559752
SRR5549073
SRR5560054
SRR5548220
SRR5549025
SRR5549052
SRR5548759
SRR5548593
SRR1009058
SRR5560151
SRR5548479
SRR5548979
SRR640887
SRR5559883
SRR5559972
SRR064085
SRR5559953
SRR064048
SRR5548371
SRR064098
SRR5548294
SRR5559934
SRR064871
SRR5548900
SRR5548400
SRR5560213
SRR064105
SRR5548965
SRR5548465
SRR5548577
SRR640797
SRR5548549
SRR5548563
SRR5548427
SRR5548927
SRR5548171
SRR5548781
SRR5560002
SRR5548995
SRR5548529
SRR5548495
SRR5549004
SRR5548264
SRR5559876
SRR5548447
SRR5548730
SRR5548947
SRR5548212
SRR1008911
SRR5548207
SRR5549067
SRR5548032
SRR5548661
SRR5559786
SRR5560017
SRR5559767
SRR064035
SRR5560189
SRR5560163
SRR1008717
SRR5560149
SRR1008903
SRR5548314
SRR5548192
SRR5548362
SRR5549113
SRR5559961
SRR5549046
SRR5548157
SRR5560129
SRR5559746
SRR5548721
SRR1009070
SRR5548466
SRR5548966
SRR5548487
SRR5548987
SRR5548589
SRR5548892
SRR640823
SRR064057
SRR5559899
SRR1008702
SRR5548497
SRR5548445
SRR5548945
SRR5560219
SRR5548070
SRR5559889
SRR5559959
SRR064850
SRR5548973
SRR5548473
SRR5548425
SRR5548599
SRR5548925
SRR5548452
SRR5548952
SRR1008958
SRR5549079
SRR5548772
SRR5548182
SRR5548753
SRR5559779
SRR5548260
SRR5560176
SRR5549065
SRR5548205
SRR5548356
SRR5560015
SRR5559765
SRR5560039
SRR5548122
SRR5559796
SRR5548155
SRR1009074
SRR1008715
SRR5548142
SRR1009032
SRR1008739
SRR064883
SRR064861
SRR5560199
SRR5548791
SRR5559863
SRR064096
SRR064046
SRR5559849
SRR5548310
SRR5548842
SRR5549038
SRR5548576
SRR5548659
SRR5560078
SRR5559829
SRR5548485
SRR5548985
SRR5548822
SRR5548926
SRR064099
SRR064049
SRR5548426
SRR5548110
SRR5548761
SRR5559893
SRR5559908
SRR5548583
SRR5548946
SRR5548446
SRR5548058
SRR5559877
SRR064915
SRR5548284
SRR063995
SRR5548681
SRR5559921
SRR5548355
SRR5548322
SRR5548518
SRR5559787
SRR5560016
SRR5559766
SRR1008970
SRR5549066
SRR5548206
SRR5560123
SRR5560175
SRR5559941
SRR5549119
SRR5548630
SRR5548342
SRR5560169
SRR1008909
SRR5548810
SRR5560143
SRR5559851
SRR064143
SRR5548382
SRR5559981
SRR5548621
SRR5549027
SRR5560183
SRR1008716
SRR5548290
SRR5559747
SRR5559930
SRR5548904
SRR5548641
SRR5548404
SRR5559795
SRR5549047
SRR5548156
SRR5560118
SRR1009011
SRR5548856
SRR5548967
SRR5548467
SRR5548986
SRR5548486
SRR5548523
SRR5548575
SRR5548244
SRR5548608
SRR5560050
SRR5548224
SRR5548543
SRR5548569
SRR5548135
SRR1009045
SRR5548119
SRR5559807
SRR1009097
SRR064071
SRR1009052
SRR064848
SRR064898
SRR1009073
SRR064885
SRR1009025
SRR5548087
SRR5559978
SRR5548066
SRR5559758
SRR064134
SRR5549058
SRR5548639
SRR5548615
SRR5559812
SRR5549110
SRR5548819
SRR064132
SRR5548835
SRR1008965
SRR640841
SRR5559864
SRR5560105
SRR5548276
SRR5560160
SRR5548474
SRR5548974
SRR5560222
SRR5548299
SRR059127
SRR5559939
SRR5559915
SRR064906
SRR5548398
SRR5548168
SRR5548932
SRR5548432
SRR064138
SRR5548868
SRR1008938
SRR5548095
SRR5548733
SRR064894
SRR064892
SRR5548754
SRR5548505
SRR5548336
SRR5548560
SRR5560059
SRR5548678
SRR5548027
SRR5559831
SRR064857
SRR5548898
SRR5560210
SRR5548403
SRR5548903
SRR1008708
SRR1009026
SRR5548717
SRR5559950
SRR5560184
SRR5548079
SRR5559880
SRR064008
SRR5548136
